Player,Games,RecTD,RshTD,TotalTouchdowns
D.J. Tialavea,2.0,1.0,0.0,1.0
Da'Norris Searcy,16.0,0.0,0.0,0.0
Da'Rel Scott,5.0,1.0,0.0,1.0
Da'Rick Rogers,5.0,2.0,0.0,2.0
DaQuan Jones,16.0,0.0,0.0,0.0
Dak Prescott,97.0,1.0,26.0,27.0
Dallas Clark,127.0,43.0,0.0,43.0
Dallas Goedert,69.0,19.0,0.0,19.0
Dalton Schultz,48.0,17.0,0.0,17.0
Dalvin Cook,73.0,5.0,47.0,52.0
Damarious Randall,29.0,0.0,0.0,0.0
Damian Williams,15.0,5.0,0.0,5.0
Damien Williams,97.0,11.0,14.0,25.0
Dan Bailey,154.0,0.0,0.0,0.0
Dan Herron,16.0,0.0,1.0,1.0
Dan Klecko,10.0,1.0,0.0,1.0
Dan Williams,14.0,0.0,0.0,0.0
Danario Alexander,28.0,10.0,0.0,10.0
Dane Cruikshank,12.0,1.0,0.0,1.0
Dane Sanzenbacher,16.0,3.0,0.0,3.0
Danieal Manning,45.0,0.0,0.0,0.0
Daniel Bullocks,16.0,0.0,0.0,0.0
Daniel Carlson,61.0,0.0,0.0,0.0
Daniel Fells,62.0,12.0,0.0,12.0
Daniel Graham,126.0,25.0,0.0,25.0
Daniel Sorensen,55.0,0.0,0.0,0.0
Daniel Thomas,62.0,3.0,10.0,13.0
Danielle Hunter,32.0,0.0,0.0,0.0
Danny Amendola,148.0,24.0,0.0,24.0
Danny Farmer,12.0,1.0,0.0,1.0
Danny Trevathan,15.0,0.0,0.0,0.0
Dante Fowler,32.0,0.0,0.0,0.0
Dante Rosario,75.0,8.0,0.0,8.0
Dante Wesley,16.0,0.0,0.0,0.0
Dare Ogunbowale,50.0,1.0,4.0,5.0
Darian Stewart,15.0,0.0,0.0,0.0
Darius Butler,41.0,0.0,0.0,0.0
Darius Johnson,10.0,1.0,0.0,1.0
Darius Reynaud,16.0,0.0,0.0,0.0
Darius Slay,31.0,0.0,0.0,0.0
Darius Walker,4.0,0.0,1.0,1.0
Darius Watts,16.0,1.0,0.0,1.0
Darnell Dockett,31.0,0.0,0.0,0.0
Daron Payne,17.0,0.0,0.0,0.0
Darqueze Dennard,16.0,0.0,0.0,0.0
